"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" 3207 620 1854 5576 25504 5125 266 45 177 3626 1046 10328
"2" NA NA NA NA NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA NA NA NA NA NA
"4" NA NA NA NA NA NA NA NA NA NA NA NA
"5" NA NA NA NA NA NA NA NA NA NA NA NA
"6" NA NA NA NA NA NA NA NA NA NA NA NA
"7" NA NA NA NA NA NA NA NA NA NA NA NA
"8" NA NA NA NA NA NA NA NA NA NA NA NA
"9" NA NA NA NA NA NA NA NA NA NA NA NA
"10" 3072 669 1843 5234 25925 5440 254 44 204 3476 886 10326
"11" 3072 669 1843 5234 25925 5440 254 44 204 3476 886 10326
"12" 3072 669 1843 5234 25925 5440 254 44 204 3476 886 10326
"13" 3072 669 1843 5234 25925 5440 254 44 204 3476 886 10326
"14" 3072 669 1843 5234 25925 5440 254 44 204 3476 886 10326
"15" 3072 669 1843 5234 25925 5440 254 44 204 3476 886 10326
"16" 3072 669 1843 5234 25925 5440 254 44 204 3476 886 10326
"17" NA NA NA NA NA NA NA NA NA NA NA NA
"18" 392 87 180 756 3432 613 38 6 30 515 102 1111
"19" 3036 666 2075 5910 21217 5247 236 19 189 3230 806 4467
"20" 3849 666 5741 22705 49913 9481 291 56 233 3973 1661 40175
"21" 0 0 0 0 0 0 0 0 0 0 0 0
"22" 3072 669 1843 5234 25925 5440 254 44 204 3476 886 10326
"23" 2766 645 3321 5514 23728 4775 237 38 190 3236 754 10206
"24" 2373 619 1473 3381 11938 2874 115 19 92 1568 465 2631
