"year","country","subArea","catchCat","fleet","Age","frequency1000","meanWeightKg"
2003,"France","27.7","Discards","MIS_MIS",0,167392.732671211,0.0451424825693101
2003,"France","27.7","Discards","MIS_MIS",1,293213.49007209,0.125366609133993
2003,"France","27.7","Discards","MIS_MIS",2,395497.560738416,0.170870628596116
2003,"France","27.7","Discards","MIS_MIS",3,104683.478187864,0.209388291207749
2003,"France","27.7","Discards","MIS_MIS",4,68961.1545938366,0.230687414196841
2003,"France","27.7","Discards","MIS_MIS",5,7698.86041904966,0.247978670659471
2003,"France","27.7","Discards","MIS_MIS",6,387.604935635379,0.300248959814311
2003,"France","27.7","Discards","OTB_CRU",0,270029.897165051,0.0464096389355081
2003,"France","27.7","Discards","OTB_CRU",1,638608.51129487,0.132711610501586
2003,"France","27.7","Discards","OTB_CRU",2,898184.3781731,0.175154518154571
2003,"France","27.7","Discards","OTB_CRU",3,244356.825218184,0.218222553953301
2003,"France","27.7","Discards","OTB_CRU",4,148291.116341928,0.244108009859349
2003,"France","27.7","Discards","OTB_CRU",5,19773.8557033833,0.256496111343934
2003,"France","27.7","Discards","OTB_CRU",6,1192.76919409231,0.304445053555515
2003,"France","27.7","Discards","OTB_DEF",0,7760031.59703237,0.0444698926906327
2003,"France","27.7","Discards","OTB_DEF",1,11819195.1370884,0.12170564557046
2003,"France","27.7","Discards","OTB_DEF",2,15693115.5306378,0.169071090029239
2003,"France","27.7","Discards","OTB_DEF",3,3723175.4013587,0.216753643304608
2003,"France","27.7","Discards","OTB_DEF",4,2178205.13130622,0.250287472685266
2003,"France","27.7","Discards","OTB_DEF",5,250325.786142757,0.262655364326875
2003,"France","27.7","Discards","OTB_DEF",6,13629.1590225665,0.320312078339564
2003,"France","27.7","Landings","MIS_MIS",1,2159.14155616704,0.283460649576988
2003,"France","27.7","Landings","MIS_MIS",2,42234.12841035,0.334654764494012
2003,"France","27.7","Landings","MIS_MIS",3,127376.590615129,0.375121284208982
2003,"France","27.7","Landings","MIS_MIS",4,281410.753139367,0.417110446209792
2003,"France","27.7","Landings","MIS_MIS",5,46311.0774653018,0.501826529336012
2003,"France","27.7","Landings","MIS_MIS",6,8366.73832559815,0.648168197691239
2003,"France","27.7","Landings","OTB_CRU",1,10705.337028887,0.332903354854144
2003,"France","27.7","Landings","OTB_CRU",2,112627.400610206,0.379102575253976
2003,"France","27.7","Landings","OTB_CRU",3,299162.564377983,0.419556380590064
