Country,Season,Season type,Year,Stock,Area,Fleets,Effort,UnitEffort,Catch. kg,Catch Cat.,Report cat.,Discards Imported Or Raised
Spain,1,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_100-119_0_0,18767,kWd,6680,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_100-119_0_0,57474,kWd,19960,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_100-119_0_0,13860,kWd,6150,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_100-119_0_0,19187,kWd,22280,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,17278,kWd,19740,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,17278,kWd,124,Discards,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,108376,kWd,130250,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,108376,kWd,132,Discards,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,130748,kWd,155500,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,130748,kWd,190,Discards,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,61677,kWd,68950,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.c.2,OTB_DEF_70-99_0_0,61677,kWd,81,Discards,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,441601,kWd,216270,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,441601,kWd,2174,Discards,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,327107,kWd,203850,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,327107,kWd,441,Discards,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,270618,kWd,216020,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,270618,kWd,465,Discards,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,375056,kWd,310120,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.j.2,OTB_DEF_70-99_0_0,375056,kWd,454,Discards,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.7.j.2,GNS_DEF_120-219_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.j.2,GNS_DEF_120-219_0_0,14464,kWd,580,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.j.2,GNS_DEF_120-219_0_0,10480,kWd,710,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.j.2,GNS_DEF_120-219_0_0,10116,kWd,750,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.7.k.2,OTB_DEF_70-99_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.k.2,OTB_DEF_70-99_0_0,16200,kWd,1690,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.k.2,OTB_DEF_70-99_0_0,16200,kWd,7,Discards,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.k.2,OTB_DEF_70-99_0_0,7200,kWd,5810,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.k.2,OTB_DEF_70-99_0_0,7200,kWd,9,Discards,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.k.2,OTB_DEF_70-99_0_0,0,kWd,0,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,46980,kWd,32940,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,46980,kWd,186,Discards,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,77626,kWd,62130,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,77626,kWd,59,Discards,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,69895,kWd,66740,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,69895,kWd,76,Discards,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,47800,kWd,63590,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.7.b,OTB_DEF_70-99_0_0,47800,kWd,44,Discards,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.8.a,OTB_DEF_>=70_0_0,103706,kWd,17600,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.8.a,OTB_DEF_>=70_0_0,97351,kWd,19370,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.8.a,OTB_DEF_>=70_0_0,99480,kWd,15890,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.8.a,OTB_DEF_>=70_0_0,107652,kWd,21350,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.8.b,PTB_DEF_>=70_0_0,80661,kWd,3070,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.8.b,PTB_DEF_>=70_0_0,95169,kWd,1700,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.8.b,PTB_DEF_>=70_0_0,68283,kWd,680,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.8.b,PTB_DEF_>=70_0_0,92973,kWd,2040,Landings,R-Reported,Imported
Spain,1,Quarter,2017,mon.27.78abd,27.8.b,OTB_DEF_>=70_0_0,169255,kWd,29090,Landings,R-Reported,Imported
Spain,2,Quarter,2017,mon.27.78abd,27.8.b,OTB_DEF_>=70_0_0,145699,kWd,29740,Landings,R-Reported,Imported
Spain,3,Quarter,2017,mon.27.78abd,27.8.b,OTB_DEF_>=70_0_0,78821,kWd,15140,Landings,R-Reported,Imported
Spain,4,Quarter,2017,mon.27.78abd,27.8.b,OTB_DEF_>=70_0_0,201157,kWd,31940,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.d,OTB_DEF_70-99_0_0,2287254,kWd,2284.55,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.e,OTT-CRU,916,kWd,54.93,Landings,R-Reported,Imported
France,3,Quarter,2017,mon.27.78abd,27.7.e,OTB_DEF_100-119_0_0,374647,kWd,64638.85,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.e,OTB_DEF_70-99_0_0,1380250,kWd,90173.95,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.e,OTB_DEF_70-99_0_0,1380250,kWd,799.26,Discards,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.f,OTT-CRU,3397,kWd,655.98,Landings,R-Reported,Imported
France,2,Quarter,2017,mon.27.78abd,27.7.f,OTB_DEF_100-119_0_0,173288,kWd,25093.4,Landings,R-Reported,Imported
France,1,Quarter,2017,mon.27.78abd,27.7.f,OTB_DEF_70-99_0_0,3379,kWd,286.62,Landings,R-Reported,Imported
France,4,Quarter,2017,mon.27.78abd,27.7.f,OTB_DEF_70-99_0_0,5500,kWd,637.1,Landings,R-Reported,Imported
