Country,Year,Metier,Vessel_length,Area,Species,Stock,kw_days,Days_at_sea,No_vessels,effort_check
BE,2009,MIS_MIS,24<40m,27.7.d,MON,mon.27.78abd,95350,140,5,19
BE,2009,MIS_MIS,24<40m,27.7.e,MON,mon.27.78abd,70172,106,2,25
BE,2009,OTB_CRU,10<24m,27.7.d,HAD,had.27.7b-k,6662.228651,30.145831,3,29
BE,2009,OTB_CRU,10<24m,27.7.d,MON,mon.27.78abd,6662.228651,30.145831,3,32
BE,2009,OTB_CRU,10<24m,27.7.e,HAD,had.27.7b-k,368.333186,1.666666,1,35
BE,2009,OTB_CRU,10<24m,27.7.e,HKE,hke.27.3a46-8abd,368.333186,1.666666,1,36
BE,2009,OTB_CRU,10<24m,27.7.e,MEG,meg.27.7b-k8abd,368.333186,1.666666,1,37
BE,2009,OTB_CRU,10<24m,27.7.f,COD,cod.27.7e-k,4005.639807,18.125067,3,42
BE,2009,OTB_CRU,10<24m,27.7.f,HAD,had.27.7b-k,4005.639807,18.125067,3,43
BE,2009,OTB_CRU,10<24m,27.7.f,HKE,hke.27.3a46-8abd,4005.639807,18.125067,3,44
BE,2009,OTB_CRU,10<24m,27.7.f,MEG,meg.27.7b-k8abd,4005.639807,18.125067,3,45
BE,2009,OTB_CRU,10<24m,27.7.f,MON,mon.27.78abd,4005.639807,18.125067,3,46
BE,2009,OTB_CRU,10<24m,27.7.f,NEP.OUT.7,nep.out.7,4005.639807,18.125067,3,48
BE,2009,OTB_CRU,10<24m,27.7.f,SOL,sol.27.7fg,4005.639807,18.125067,3,49
BE,2009,OTB_CRU,10<24m,27.7.f,WHG,whg.27.7b-ce-k,4005.639807,18.125067,3,50
BE,2009,OTB_CRU,10<24m,27.7.g,COD,cod.27.7e-k,8591.358867,38.874927,3,51
BE,2009,OTB_CRU,10<24m,27.7.g,HAD,had.27.7b-k,8591.358867,38.874927,3,52
BE,2009,OTB_CRU,10<24m,27.7.g,HKE,hke.27.3a46-8abd,8591.358867,38.874927,3,53
BE,2009,OTB_CRU,10<24m,27.7.g,MEG,meg.27.7b-k8abd,8591.358867,38.874927,3,54
BE,2009,OTB_CRU,10<24m,27.7.g,MON,mon.27.78abd,8591.358867,38.874927,3,55
BE,2009,OTB_CRU,10<24m,27.7.g,NEP.FU.22,nep.fu.22,8591.358867,38.874927,3,58
BE,2009,OTB_CRU,10<24m,27.7.g,SOL,sol.27.7fg,8591.358867,38.874927,3,60
BE,2009,OTB_CRU,10<24m,27.7.g,WHG,whg.27.7b-ce-k,8591.358867,38.874927,3,61
BE,2009,OTB_CRU,24<40m,27.7.f,COD,cod.27.7e-k,73325,93,13,67
BE,2009,OTB_CRU,24<40m,27.7.f,HAD,had.27.7b-k,73325,93,13,68
BE,2009,OTB_CRU,24<40m,27.7.f,HKE,hke.27.3a46-8abd,73325,93,13,69
BE,2009,OTB_CRU,24<40m,27.7.f,MEG,meg.27.7b-k8abd,73325,93,13,70
BE,2009,OTB_CRU,24<40m,27.7.f,MON,mon.27.78abd,73325,93,13,71
BE,2009,OTB_CRU,24<40m,27.7.f,NEP.OUT.7,nep.out.7,73325,93,13,73
BE,2009,OTB_CRU,24<40m,27.7.f,SOL,sol.27.7fg,73325,93,13,74
BE,2009,OTB_CRU,24<40m,27.7.f,WHG,whg.27.7b-ce-k,73325,93,13,75
BE,2009,OTB_CRU,24<40m,27.7.g,COD,cod.27.7e-k,381154.000518,480.032732,21,76
BE,2009,OTB_CRU,24<40m,27.7.g,HAD,had.27.7b-k,381154.000518,480.032732,21,77
BE,2009,OTB_CRU,24<40m,27.7.g,HKE,hke.27.3a46-8abd,381154.000518,480.032732,21,78
BE,2009,OTB_CRU,24<40m,27.7.g,MEG,meg.27.7b-k8abd,381154.000518,480.032732,21,79
BE,2009,OTB_CRU,24<40m,27.7.g,MON,mon.27.78abd,381154.000518,480.032732,21,80
BE,2009,OTB_CRU,24<40m,27.7.g,NEP.FU.2021,nep.fu.2021,381154.000518,480.032732,21,82
BE,2009,OTB_CRU,24<40m,27.7.g,NEP.FU.22,nep.fu.22,381154.000518,480.032732,21,83
BE,2009,OTB_CRU,24<40m,27.7.g,SOL,sol.27.7fg,381154.000518,480.032732,21,85
BE,2009,OTB_CRU,24<40m,27.7.g,WHG,whg.27.7b-ce-k,381154.000518,480.032732,21,86
BE,2009,OTB_CRU,24<40m,27.7.h,COD,cod.27.7e-k,441,0.5,1,87
BE,2009,OTB_CRU,24<40m,27.7.h,HAD,had.27.7b-k,441,0.5,1,88
BE,2009,TBB_DEF,10<24m,27.7.d,HAD,had.27.7b-k,351722.151889,1593.605243,67,95
BE,2009,TBB_DEF,10<24m,27.7.d,HKE,hke.27.3a46-8abd,351722.151889,1593.605243,67,96
BE,2009,TBB_DEF,10<24m,27.7.d,MEG,meg.27.7b-k8abd,351722.151889,1593.605243,67,97
BE,2009,TBB_DEF,10<24m,27.7.d,MON,mon.27.78abd,351722.151889,1593.605243,67,98
BE,2009,TBB_DEF,10<24m,27.7.e,MEG,meg.27.7b-k8abd,331.499779,1.499999,2,103
BE,2009,TBB_DEF,10<24m,27.7.e,MON,mon.27.78abd,331.499779,1.499999,2,104
BE,2009,TBB_DEF,10<24m,27.7.f,COD,cod.27.7e-k,14693.067573,66.710713,11,108
BE,2009,TBB_DEF,10<24m,27.7.f,HAD,had.27.7b-k,14693.067573,66.710713,11,109
BE,2009,TBB_DEF,10<24m,27.7.f,HKE,hke.27.3a46-8abd,14693.067573,66.710713,11,110
BE,2009,TBB_DEF,10<24m,27.7.f,MEG,meg.27.7b-k8abd,14693.067573,66.710713,11,111
BE,2009,TBB_DEF,10<24m,27.7.f,MON,mon.27.78abd,14693.067573,66.710713,11,112
BE,2009,TBB_DEF,10<24m,27.7.f,SOL,sol.27.7fg,14693.067573,66.710713,11,115
BE,2009,TBB_DEF,10<24m,27.7.f,WHG,whg.27.7b-ce-k,14693.067573,66.710713,11,116
BE,2009,TBB_DEF,10<24m,27.7.g,COD,cod.27.7e-k,4401.265392,19.955952,4,117
BE,2009,TBB_DEF,10<24m,27.7.g,HKE,hke.27.3a46-8abd,4401.265392,19.955952,4,119
BE,2009,TBB_DEF,10<24m,27.7.g,MEG,meg.27.7b-k8abd,4401.265392,19.955952,4,120
BE,2009,TBB_DEF,10<24m,27.7.g,MON,mon.27.78abd,4401.265392,19.955952,4,121
BE,2009,TBB_DEF,10<24m,27.7.g,SOL,sol.27.7fg,4401.265392,19.955952,4,126
BE,2009,TBB_DEF,10<24m,27.7.g,WHG,whg.27.7b-ce-k,4401.265392,19.955952,4,127
BE,2009,TBB_DEF,24<40m,27.7.d,HAD,had.27.7b-k,2013861.858182,1981.335996,113,128
BE,2009,TBB_DEF,24<40m,27.7.d,HKE,hke.27.3a46-8abd,2013861.858182,1981.335996,113,129
BE,2009,TBB_DEF,24<40m,27.7.d,MEG,meg.27.7b-k8abd,2013861.858182,1981.335996,113,130
BE,2009,TBB_DEF,24<40m,27.7.d,MON,mon.27.78abd,2013861.858182,1981.335996,113,131
BE,2009,TBB_DEF,24<40m,27.7.d,NEP.OUT.7,nep.out.7,2013861.858182,1981.335996,113,132
BE,2009,TBB_DEF,24<40m,27.7.e,COD,cod.27.7e-k,283876.944951,261.576828,59,133
BE,2009,TBB_DEF,24<40m,27.7.e,HAD,had.27.7b-k,283876.944951,261.576828,59,134
BE,2009,TBB_DEF,24<40m,27.7.e,HKE,hke.27.3a46-8abd,283876.944951,261.576828,59,135
BE,2009,TBB_DEF,24<40m,27.7.e,MEG,meg.27.7b-k8abd,283876.944951,261.576828,59,136
BE,2009,TBB_DEF,24<40m,27.7.e,MON,mon.27.78abd,283876.944951,261.576828,59,137
BE,2009,TBB_DEF,24<40m,27.7.e,WHG,whg.27.7b-ce-k,283876.944951,261.576828,59,140
BE,2009,TBB_DEF,24<40m,27.7.f,COD,cod.27.7e-k,827883.826169,775.755872,83,141
BE,2009,TBB_DEF,24<40m,27.7.f,HAD,had.27.7b-k,827883.826169,775.755872,83,142
BE,2009,TBB_DEF,24<40m,27.7.f,HKE,hke.27.3a46-8abd,827883.826169,775.755872,83,143
BE,2009,TBB_DEF,24<40m,27.7.f,MEG,meg.27.7b-k8abd,827883.826169,775.755872,83,144
BE,2009,TBB_DEF,24<40m,27.7.f,MON,mon.27.78abd,827883.826169,775.755872,83,145
BE,2009,TBB_DEF,24<40m,27.7.f,SOL,sol.27.7fg,827883.826169,775.755872,83,148
BE,2009,TBB_DEF,24<40m,27.7.f,WHG,whg.27.7b-ce-k,827883.826169,775.755872,83,149
BE,2009,TBB_DEF,24<40m,27.7.g,COD,cod.27.7e-k,807516.548425,786.213107,80,150
BE,2009,TBB_DEF,24<40m,27.7.g,HAD,had.27.7b-k,807516.548425,786.213107,80,151
