"stock","single stock advice","fixedEffort","min","max","prev","had.27.7b-k"
"cod.27.7e-k",6078,6306.93010815497,7534.73136442432,823.244814195877,6596.32194025582,6543.44562341372
"had.27.7b-k",70434,93776.943057096,102026.295075368,10764.482116162,97477.4716191379,98423.8255557063
"meg.27.7b-k8abd",115734,141797.254970061,142419.946302924,16162.0206009693,141970.06600054,141823.990198467
"mon.27.78abd",80416,104805.467625689,109282.257942509,13185.2210433568,107143.754308167,106951.569101705
"nep.fu.16",NA,0,0,0,0,0
"nep.fu.17",NA,0,0,0,0,0
"nep.fu.19",NA,0,0,0,0,0
"nep.fu.2021",NA,0,0,0,0,0
"nep.fu.22",NA,0,0,0,0,0
"nep.out.7",NA,0,0,0,0,0
"sol.27.7fg",6009,8806.58425793611,8807.35581531848,8806.31457129073,8806.60595602215,8806.46259749577
"whg.27.7b-ce-k",37494,37695.1065042653,43217.6106305962,36692.4583107019,39239.1986472308,39168.9517549946
