orig,standard,FU
3A,3AN,NEP3A
IIIAN,3AN,NEP3A
IIIA,3AN,NEP3A
27.3.20,3AN,NEP3A
27.3.A,3AN,NEP3A
27.3.A.20,3AN,NEP3A
3AN,3AN,NEP3A
IIIA3,3AN,NEP3A
IIIAS,27.3.21,NEP3A
27.3.A.21,27.3.21,NEP3A
4,4,NEPOTH-NS
IV,4,NEPOTH-NS
IVA,4,NEPOTH-NS
IVB,4,NEPOTH-NS
IVC,4,NEPOTH-NS
IVBC,4,NEPOTH-NS
27.4,4,NEPOTH-NS
27.4.A,4,NEPOTH-NS
27.4.B,4,NEPOTH-NS
27.4.C,4,NEPOTH-NS
27.4.OUTFU,4,NEPOTH-NS
27.4OUTFU,4,NEPOTH-NS
FU.32,4,NEP32
FU.33,4,NEP33
FU.34,4,NEP34
FU.5,4,NEP5
FU.6,4,NEP6
FU.7,4,NEP7
FU.9,4,NEP9
FU.10,4,NEP10
VIID,7D,NEPOTH-NS
27.7.D,7D,NEPOTH-NS
VIA,6A,NEPOTH-WS
6A,6A,NEPOTH-WS
VI,6A,NEPOTH-WS
27.6.A,6A,NEPOTH-WS
VIANOTFU,6A,NEPOTH-WS
IV5,4,NEP5
IVbc5,4,NEP5
IVc5,4,NEP5
IVC5,4,NEP5
IVBC5,4,NEP5
IV32,4,NEP32
IVab32,4,NEP32
32,4,NEP32
IVBC32,4,NEP32
IVAB32,4,NEP32
IVA7,4,NEP7
IVa7,4,NEP7
IV7,4,NEP7
IVB33,4,NEP33
IVb33,4,NEP33
FU33,4,NEP33
IV33,4,NEP33
IVBC33,4,NEP33
IVB34,4,NEP34
IVb34,4,NEP34
IV34,4,NEP34
IVA10,4,NEP10
IVa10,4,NEP10
IV10,4,NEP10
IVA9,4,NEP9
IVa9,4,NEP9
IV9,4,NEP9
IVB6,4,NEP6
IV6,4,NEP6
IVBC6,4,NEP6
IVB8,4,NEP8
IV8,4,NEP8
FU.8,4,NEP8
FU.12,6A,NEP12
VIA12,6A,NEP12
NEPVIa12,6A,NEP12
VIA11,6A,NEP11
VIa11,6A,NEP11
FU.11,6A,NEP11
NEPVIa11,6A,NEP11
VIA13,6A,NEP13
VIa13,6A,NEP13
FU.13,6A,NEP13
NEPVIa13,6A,NEP13
IVNOTFU,4,NEPOTH-NS
NRPOTH,4,NEPOTH-NS
IVBCOTH,4,NEPOTH-NS
IVBNOTFU,4,NEPOTH-NS
IVCNOTFU,4,NEPOTH-NS
IVANOTFU,4,NEPOTH-NS
NEPVIanotFU,6A,NEPOTH-WS
27.6.A.OUTFU,6A,NEPOTH-WS
